Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
0,2024-08-29 09:45:00,BTCUSDT,59611,59653,59499.8,59522.3,837.619,49897922.1618,0
0,2024-08-29 09:30:00,BTCUSDT,59450.1,59722.5,59445.4,59611,3417.797,203755989.1049,0
0,2024-08-29 09:15:00,BTCUSDT,59376.7,59552.2,59327.2,59450.1,1969.574,117157930.3841,0
0,2024-08-29 09:00:00,BTCUSDT,59392.8,59496.4,59341,59376.7,2088.185,124121576.6999,0
0,2024-08-29 08:45:00,BTCUSDT,59350.8,59430,59309.8,59392.8,1852.047,109993333.9164,0
0,2024-08-29 08:30:00,BTCUSDT,59294.4,59355,59212.8,59350.8,977.91,57987533.4854,0
0,2024-08-29 08:15:00,BTCUSDT,59158.7,59332.4,59152.5,59294.4,1834.807,108765405.8064,0
0,2024-08-29 08:00:00,BTCUSDT,59159.6,59170,59105,59158.7,286.744,16958799.0357,0
0,2024-08-29 07:45:00,BTCUSDT,59149.9,59168.8,59107.4,59159.6,470.584,27829971.9247,0
0,2024-08-29 07:30:00,BTCUSDT,59157.1,59173.8,59020.2,59149.9,431.373,25502403.3211,0
0,2024-08-29 07:15:00,BTCUSDT,59070.9,59157.1,59035,59157.1,406.853,24049301.2491,0
0,2024-08-29 07:00:00,BTCUSDT,59095,59140,59065.8,59070.9,308.84,18255251.843,0
0,2024-08-29 06:45:00,BTCUSDT,59115.2,59145.1,59063.5,59095,215.915,12760957.8933,0
0,2024-08-29 06:30:00,BTCUSDT,59060.5,59133.9,59059.6,59115.2,332.66,19662599.2454,0
0,2024-08-29 06:15:00,BTCUSDT,59051.1,59076.1,58980.6,59060.5,224.553,13255849.7003,0
0,2024-08-29 06:00:00,BTCUSDT,59099.9,59149.5,59022.9,59051.1,328.631,19417387.2589,0
0,2024-08-29 05:45:00,BTCUSDT,59109.1,59145,59045.3,59099.9,349.163,20636611.6116,0
0,2024-08-29 05:30:00,BTCUSDT,59079.6,59121.4,58900,59109.1,674.072,39755018.4182,0
0,2024-08-29 05:15:00,BTCUSDT,59096,59150,59053.4,59079.6,505.855,29893036.6373,0
0,2024-08-29 05:00:00,BTCUSDT,58951,59107.4,58910.7,59096,424.368,25041536.9064,0
0,2024-08-29 04:45:00,BTCUSDT,58973.5,58999.2,58817.8,58951,689.259,40601632.832,0
0,2024-08-29 04:30:00,BTCUSDT,58958.2,59033.6,58878.4,58973.5,604.157,35620618.3045,0
0,2024-08-29 04:15:00,BTCUSDT,59070.9,59070.9,58903.2,58958.2,766.225,45178021.6026,0
0,2024-08-29 04:00:00,BTCUSDT,59165.8,59286.2,59061.6,59070.9,741.027,43865951.9052,0
0,2024-08-29 03:45:00,BTCUSDT,59079.2,59180.8,59002.6,59165.8,249.996,14773196.1184,0
0,2024-08-29 03:30:00,BTCUSDT,59027,59130.7,58872.9,59079.2,868.017,51198224.5891,0
0,2024-08-29 03:15:00,BTCUSDT,59119.8,59208.4,59011.9,59027,748.633,44251386.5825,0
0,2024-08-29 03:00:00,BTCUSDT,58980.4,59120,58965.8,59119.8,555.086,32768363.6404,0
0,2024-08-29 02:45:00,BTCUSDT,59139,59154.5,58935.1,58980.4,583.652,34454953.9376,0
0,2024-08-29 02:30:00,BTCUSDT,59045.9,59143.4,59009,59139,240.114,14184992.7751,0
0,2024-08-29 02:15:00,BTCUSDT,59053.5,59098.4,58968,59045.9,368.549,21756520.337,0
0,2024-08-29 02:00:00,BTCUSDT,59155.9,59161.2,59044.3,59053.5,382.367,22600785.7918,0
0,2024-08-29 01:45:00,BTCUSDT,58880.4,59155.9,58855.2,59155.9,710.073,41925227.1555,0
0,2024-08-29 01:30:00,BTCUSDT,58837.8,58999.1,58793.4,58880.4,812.741,47867417.8122,0
0,2024-08-29 01:15:00,BTCUSDT,58950,59004.2,58815.1,58837.8,894.091,52665741.3,0
0,2024-08-29 01:00:00,BTCUSDT,59071.9,59212.8,58906.5,58950,782.624,46198729.47,0
0,2024-08-29 00:45:00,BTCUSDT,59300.1,59339.9,59026,59071.9,827.415,48936180.9467,0
0,2024-08-29 00:30:00,BTCUSDT,59321.9,59432.8,59175.1,59300.1,556.374,32995017.5095,0
0,2024-08-29 00:15:00,BTCUSDT,59243.7,59454.9,59132.4,59321.9,621.924,36898527.4594,0
0,2024-08-29 00:00:00,BTCUSDT,59264.1,59358.4,59102.7,59243.7,1717.658,101654143.4956,0
0,2024-08-28 23:45:00,BTCUSDT,59170.7,59442.9,58959,59264.1,2638.019,156099129.2925,0
0,2024-08-28 23:30:00,BTCUSDT,59087.6,59330.6,58857.4,59170.7,2341.1,138379568.5275,0
0,2024-08-28 23:15:00,BTCUSDT,59009.1,59570,58584.7,59087.6,5652.884,333979544.2005,0
0,2024-08-28 23:00:00,BTCUSDT,58859.9,59088.7,58843.5,59009.1,2037.84,120091389.2158,0
0,2024-08-28 22:45:00,BTCUSDT,59136.9,59266.1,58769.7,58859.9,1734.629,102536301.8212,0
0,2024-08-28 22:30:00,BTCUSDT,59294,59294,59119.9,59136.9,1466.908,86870835.1699,0
0,2024-08-28 22:15:00,BTCUSDT,59347.8,59426.4,59209.2,59294,2510.837,148945429.9647,0
0,2024-08-28 22:00:00,BTCUSDT,59449.4,59783.7,59161.3,59347.8,5478.396,326087691.2117,0
